Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
106,Chicago Bears,CHI,DST,11,MIN,null,null,4700,8.6
123,Pittsburgh Steelers,PIT,DST,11,JAX,null,null,3800,8.2
131,Baltimore Ravens,BAL,DST,11,CIN,null,null,4200,8
131,Arizona Cardinals,ARI,DST,11,OAK,null,null,4000,8
149,Carolina Panthers,CAR,DST,11,DET,null,null,4000,7.3
149,Washington Redskins,WAS,DST,11,HOU,null,null,3600,7.3
152,Los Angeles Chargers,LAC,DST,11,DEN,null,null,4600,7.2
157,Seattle Seahawks,SEA,DST,11,GB,null,null,3100,6.7
157,Atlanta Falcons,ATL,DST,11,DAL,null,null,3500,6.7
157,Minnesota Vikings,MIN,DST,11,CHI,null,null,3800,6.7
157,New Orleans Saints,NO,DST,11,PHI,null,null,3300,6.7
157,Houston Texans,HOU,DST,11,WAS,null,null,4700,6.7
167,Green Bay Packers,GB,DST,11,SEA,null,null,3700,6.6
170,New York Giants,NYG,DST,11,TB,null,null,3700,6.5
170,Oakland Raiders,OAK,DST,11,ARI,null,null,3400,6.5
174,Indianapolis Colts,IND,DST,11,TEN,null,null,4000,6.3
179,Jacksonville Jaguars,JAX,DST,11,PIT,null,null,3600,6.2
182,Detroit Lions,DET,DST,11,CAR,null,null,3300,6.1
182,Tampa Bay Buccaneers,TB,DST,11,NYG,null,null,3700,6.1
185,Tennessee Titans,TEN,DST,11,IND,null,null,3400,6
188,Kansas City Chiefs,KC,DST,11,LAR,null,null,3200,5.9
191,Cincinnati Bengals,CIN,DST,11,BAL,null,null,3300,5.7
198,Dallas Cowboys,DAL,DST,11,ATL,null,null,3400,5.5
206,Los Angeles Rams,LAR,DST,11,KC,null,null,3300,5
208,Denver Broncos,DEN,DST,11,LAC,null,null,3300,4.9
221,Philadelphia Eagles,PHI,DST,11,NO,null,null,3400,4
71,Wil Lutz,NO,K,11,PHI,12,23,5000,11.28
73,Greg Zuerlein,LAR,K,11,KC,28,8,4950,11.18
82,Harrison Butker,KC,K,11,LAR,17,17,4900,10.11
83,Justin Tucker,BAL,K,11,CIN,32,29,4850,10.01
86,Graham Gano,CAR,K,11,DET,25,13,4800,9.81
88,Michael Badgley,LAC,K,11,DEN,19,21,4750,9.71
89,Adam Vinatieri,IND,K,11,TEN,1,6,4700,9.56
90,Matt Bryant,ATL,K,11,DAL,4,8,4650,9.51
91,Sebastian Janikowski,SEA,K,11,GB,14,16,4600,9.36
95,Ryan Succop,TEN,K,11,IND,20,31,4550,9.26
96,Matt Prater,DET,K,11,CAR,24,13,4500,9.21
100,Jake Elliott,PHI,K,11,NO,28,4,4450,9.06
102,Aldrick Rosas,NYG,K,11,TB,31,16,4400,8.76
105,Ka'imi Fairbairn,HOU,K,11,WAS,11,1,4350,8.61
110,Brett Maher,DAL,K,11,ATL,30,4,4300,8.51
111,Chris Boswell,PIT,K,11,JAX,6,26,4250,8.44
115,Josh Lambo,JAX,K,11,PIT,15,8,4200,8.36
117,Cody Parkey,CHI,K,11,MIN,7,30,4150,8.34
120,Mason Crosby,GB,K,11,SEA,9,12,4100,8.24
129,Dustin Hopkins,WAS,K,11,HOU,8,19,4050,8.01
129,Brandon McManus,DEN,K,11,LAC,9,7,4000,8.01
146,Dan Bailey,MIN,K,11,CHI,3,3,3950,7.39
156,Randy Bullock,CIN,K,11,BAL,2,2,3900,6.95
166,Matthew McCrane,ARI,K,11,OAK,29,28,3850,6.63
170,Daniel Carlson,OAK,K,11,ARI,13,8,3800,6.5
2,Patrick Mahomes,KC,QB,11,LAR,17,20,9500,23.46
3,Cam Newton,CAR,QB,11,DET,25,21,8600,23.07
4,Jared Goff,LAR,QB,11,KC,28,23,8300,21.87
5,Carson Wentz,PHI,QB,11,NO,28,32,7700,21.25
6,Drew Brees,NO,QB,11,PHI,12,24,8500,21.19
8,Aaron Rodgers,GB,QB,11,SEA,9,2,8600,20.12
9,Matt Ryan,ATL,QB,11,DAL,4,17,8400,20.1
11,Ryan Fitzpatrick,TB,QB,11,NYG,16,9,7600,19.28
13,Russell Wilson,SEA,QB,11,GB,14,9,7700,19.14
16,Andrew Luck,IND,QB,11,TEN,1,3,7800,18.91
18,Ben Roethlisberger,PIT,QB,11,JAX,6,8,8000,18.74
20,Mitch Trubisky,CHI,QB,11,MIN,7,12,7700,18.39
