Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
90,Jacksonville Jaguars,JAX,DST,7,HOU,null,null,4400,9.9
128,Los Angeles Rams,LAR,DST,7,SF,null,null,5000,8.4
139,Indianapolis Colts,IND,DST,7,BUF,null,null,4100,8.2
139,Minnesota Vikings,MIN,DST,7,NYJ,null,null,4600,8.2
145,Los Angeles Chargers,LAC,DST,7,TEN,null,null,4500,8.1
149,Arizona Cardinals,ARI,DST,7,DEN,null,null,3900,8
158,Denver Broncos,DEN,DST,7,ARI,null,null,4100,7.6
158,Philadelphia Eagles,PHI,DST,7,CAR,null,null,4200,7.6
168,Chicago Bears,CHI,DST,7,NE,null,null,3700,7.3
172,Houston Texans,HOU,DST,7,JAX,null,null,4800,7.1
173,Buffalo Bills,BUF,DST,7,IND,null,null,3400,7
173,Atlanta Falcons,ATL,DST,7,NYG,null,null,4000,7
178,Detroit Lions,DET,DST,7,MIA,null,null,3800,6.9
179,Cleveland Browns,CLE,DST,7,TB,null,null,3200,6.8
183,New England Patriots,NE,DST,7,CHI,null,null,3500,6.7
183,Tampa Bay Buccaneers,TB,DST,7,CLE,null,null,3900,6.7
185,Kansas City Chiefs,KC,DST,7,CIN,null,null,3300,6.6
185,Washington Redskins,WAS,DST,7,DAL,null,null,3500,6.6
188,New York Jets,NYJ,DST,7,MIN,null,null,3700,6.5
188,Carolina Panthers,CAR,DST,7,PHI,null,null,3700,6.5
192,Miami Dolphins,MIA,DST,7,DET,null,null,3500,6.4
197,New Orleans Saints,NO,DST,7,BAL,null,null,3600,6.1
197,Baltimore Ravens,BAL,DST,7,NO,null,null,3400,6.1
197,Dallas Cowboys,DAL,DST,7,WAS,null,null,4100,6.1
219,Tennessee Titans,TEN,DST,7,LAC,null,null,3400,4.7
221,Cincinnati Bengals,CIN,DST,7,KC,null,null,3100,4.6
229,New York Giants,NYG,DST,7,ATL,null,null,3000,4.3
234,San Francisco 49ers,SF,DST,7,LAR,null,null,3000,4.2
241,Kyle Juszczyk,SF,RB,7,LAR,8,10,5600,3.82
76,Greg Zuerlein,LAR,K,7,SF,29,22,5000,10.66
81,Harrison Butker,KC,K,7,CIN,25,24,4950,10.46
91,Justin Tucker,BAL,K,7,NO,27,10,4900,9.86
100,Giorgio Tavecchio,ATL,K,7,NYG,18,32,4850,9.31
104,Stephen Gostkowski,NE,K,7,CHI,10,5,4800,9.16
112,Adam Vinatieri,IND,K,7,BUF,6,28,4750,8.76
113,Jake Elliott,PHI,K,7,CAR,14,14,4700,8.71
113,Chandler Catanzaro,TB,K,7,CLE,21,15,4650,8.71
119,Brett Maher,DAL,K,7,WAS,7,1,4600,8.56
120,Josh Lambo,JAX,K,7,HOU,12,22,4550,8.51
120,Matt Prater,DET,K,7,MIA,16,20,4500,8.51
132,Wil Lutz,NO,K,7,BAL,1,2,4450,8.31
135,Dan Bailey,MIN,K,7,NYJ,19,11,4400,8.24
137,Brandon McManus,DEN,K,7,ARI,15,3,4350,8.21
137,Aldrick Rosas,NYG,K,7,ATL,31,12,4300,8.21
141,Steven Hauschka,BUF,K,7,IND,24,32,4250,8.16
146,Randy Bullock,CIN,K,7,KC,31,19,4200,8.09
151,Robbie Gould,SF,K,7,LAR,8,6,4150,7.91
153,Graham Gano,CAR,K,7,PHI,9,17,4100,7.74
153,Jason Myers,NYJ,K,7,MIN,20,29,4050,7.74
156,Cody Parkey,CHI,K,7,NE,23,24,4000,7.69
162,Dustin Hopkins,WAS,K,7,DAL,2,3,3950,7.45
165,Jason Sanders,MIA,K,7,DET,22,24,3900,7.35
166,Ryan Succop,TEN,K,7,LAC,13,6,3850,7.34
170,Ka'imi Fairbairn,HOU,K,7,JAX,3,30,3800,7.19
173,Greg Joseph,CLE,K,7,TB,32,18,3750,7
176,Phil Dawson,ARI,K,7,DEN,24,27,3700,6.95
208,Michael Badgley,LAC,K,7,TEN,4,11,3650,5.38
2,Patrick Mahomes,KC,QB,7,CIN,25,26,9000,21.15
