Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
108,Kansas City Chiefs,KC,DST,13,OAK,null,null,4300,9.4
110,Green Bay Packers,GB,DST,13,ARI,null,null,4400,9.3
110,Philadelphia Eagles,PHI,DST,13,WAS,null,null,4100,9.3
115,Chicago Bears,CHI,DST,13,NYG,null,null,4800,9.2
118,Tennessee Titans,TEN,DST,13,NYJ,null,null,4400,9.1
123,Miami Dolphins,MIA,DST,13,BUF,null,null,4100,9
123,Seattle Seahawks,SEA,DST,13,SF,null,null,4600,9
144,Carolina Panthers,CAR,DST,13,TB,null,null,3800,8.5
155,Houston Texans,HOU,DST,13,CLE,null,null,4400,8.3
160,Buffalo Bills,BUF,DST,13,MIA,null,null,4000,8.1
178,Denver Broncos,DEN,DST,13,CIN,null,null,4500,7.5
183,Los Angeles Rams,LAR,DST,13,DET,null,null,4100,7.4
187,New Orleans Saints,NO,DST,13,DAL,null,null,3500,7.3
190,Indianapolis Colts,IND,DST,13,JAX,null,null,4200,7
190,Pittsburgh Steelers,PIT,DST,13,LAC,null,null,3600,7
192,Cleveland Browns,CLE,DST,13,HOU,null,null,3200,6.9
192,New England Patriots,NE,DST,13,MIN,null,null,3600,6.9
195,Jacksonville Jaguars,JAX,DST,13,IND,null,null,3700,6.8
197,New York Giants,NYG,DST,13,CHI,null,null,3300,6.7
202,Los Angeles Chargers,LAC,DST,13,PIT,null,null,3300,6.6
206,Atlanta Falcons,ATL,DST,13,BAL,null,null,3500,6.5
209,Washington Redskins,WAS,DST,13,PHI,null,null,3400,6.4
213,Cincinnati Bengals,CIN,DST,13,DEN,null,null,3600,6.2
218,Baltimore Ravens,BAL,DST,13,ATL,null,null,4200,6.1
218,New York Jets,NYJ,DST,13,TEN,null,null,3700,6.1
218,Minnesota Vikings,MIN,DST,13,NE,null,null,3300,6.1
240,Detroit Lions,DET,DST,13,LAR,null,null,3000,5.2
240,Arizona Cardinals,ARI,DST,13,GB,null,null,2800,5.2
251,Tampa Bay Buccaneers,TB,DST,13,CAR,null,null,3200,4.9
261,San Francisco 49ers,SF,DST,13,SEA,null,null,3400,4.4
