Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
89,Kansas City Chiefs,KC,DST,10,ARI,null,null,4600,9.9
98,Chicago Bears,CHI,DST,10,DET,null,null,5000,9.4
102,New York Jets,NYJ,DST,10,BUF,null,null,4900,9.3
128,Los Angeles Chargers,LAC,DST,10,OAK,null,null,4700,8.3
128,Philadelphia Eagles,PHI,DST,10,DAL,null,null,4500,8.3
146,New England Patriots,NE,DST,10,TEN,null,null,4200,7.9
164,Atlanta Falcons,ATL,DST,10,CLE,null,null,3800,7.3
164,San Francisco 49ers,SF,DST,10,NYG,null,null,4500,7.3
166,Los Angeles Rams,LAR,DST,10,SEA,null,null,3900,7.2
171,Green Bay Packers,GB,DST,10,MIA,null,null,3900,7
171,Jacksonville Jaguars,JAX,DST,10,IND,null,null,4100,7
171,Washington Redskins,WAS,DST,10,TB,null,null,3400,7
179,Indianapolis Colts,IND,DST,10,JAX,null,null,4000,6.8
181,New York Giants,NYG,DST,10,SF,null,null,3600,6.7
182,Detroit Lions,DET,DST,10,CHI,null,null,3300,6.6
182,New Orleans Saints,NO,DST,10,CIN,null,null,3200,6.6
182,Buffalo Bills,BUF,DST,10,NYJ,null,null,3700,6.6
189,Carolina Panthers,CAR,DST,10,PIT,null,null,3400,6.5
192,Dallas Cowboys,DAL,DST,10,PHI,null,null,3800,6.4
194,Pittsburgh Steelers,PIT,DST,10,CAR,null,null,3400,6.3
200,Seattle Seahawks,SEA,DST,10,LAR,null,null,3100,6.1
204,Cleveland Browns,CLE,DST,10,ATL,null,null,3000,5.9
209,Miami Dolphins,MIA,DST,10,GB,null,null,3200,5.6
212,Tampa Bay Buccaneers,TB,DST,10,WAS,null,null,3300,5.5
212,Tennessee Titans,TEN,DST,10,NE,null,null,3000,5.5
229,Arizona Cardinals,ARI,DST,10,KC,null,null,2500,4.1
237,Cincinnati Bengals,CIN,DST,10,NO,null,null,3200,3.7
256,Oakland Raiders,OAK,DST,10,LAC,null,null,3000,3.1
243,Kyle Juszczyk,SF,RB,10,NYG,18,21,4700,3.62
70,Harrison Butker,KC,K,10,ARI,12,7,5000,10.91
80,Greg Zuerlein,LAR,K,10,SEA,6,4,4950,10.41
84,Wil Lutz,NO,K,10,CIN,31,25,4900,10.16
87,Michael Badgley,LAC,K,10,OAK,30,27,4850,10.01
90,Stephen Gostkowski,NE,K,10,TEN,3,7,4800,9.86
101,Mason Crosby,GB,K,10,MIA,23,26,4750,9.31
104,Robbie Gould,SF,K,10,NYG,18,32,4700,9.21
106,Jason Myers,NYJ,K,10,BUF,9,28,4650,9.01
107,Graham Gano,CAR,K,10,PIT,21,13,4600,8.96
108,Giorgio Tavecchio,ATL,K,10,CLE,26,19,4550,8.91
114,Chris Boswell,PIT,K,10,CAR,16,4,4500,8.64
118,Chandler Catanzaro,TB,K,10,WAS,11,1,4450,8.54
126,Jake Elliott,PHI,K,10,DAL,3,6,4400,8.34
130,Cody Parkey,CHI,K,10,DET,21,16,4350,8.29
133,Adam Vinatieri,IND,K,10,JAX,5,29,4300,8.24
137,Josh Lambo,JAX,K,10,IND,17,31,4250,8.11
141,Brett Maher,DAL,K,10,PHI,12,23,4200,8.01
142,Randy Bullock,CIN,K,10,NO,28,9,4150,7.99
142,Dustin Hopkins,WAS,K,10,TB,32,15,4100,7.99
147,Sebastian Janikowski,SEA,K,10,LAR,15,18,4050,7.89
158,Matt Prater,DET,K,10,CHI,4,3,4000,7.54
162,Ryan Succop,TEN,K,10,NE,22,23,3950,7.39
167,Aldrick Rosas,NYG,K,10,SF,23,21,3900,7.15
168,Steven Hauschka,BUF,K,10,NYJ,14,17,3850,7.14
170,Jason Sanders,MIA,K,10,GB,20,13,3800,7.05
177,Greg Joseph,CLE,K,10,ATL,29,6,3750,6.9
198,Daniel Carlson,OAK,K,10,LAC,13,9,3700,6.23
203,Phil Dawson,ARI,K,10,KC,27,14,3650,6.03
1,Patrick Mahomes,KC,QB,10,ARI,12,2,9800,23.15
3,Aaron Rodgers,GB,QB,10,MIA,23,7,8600,22.26
4,Cam Newton,CAR,QB,10,PIT,21,28,8700,22
5,Matt Ryan,ATL,QB,10,CLE,26,15,8500,20.85
6,Ben Roethlisberger,PIT,QB,10,CAR,16,21,7800,20.49
8,Philip Rivers,LAC,QB,10,OAK,30,25,8200,20.11
9,Drew Brees,NO,QB,10,CIN,31,29,8400,19.99
10,Ryan Fitzpatrick,TB,QB,10,WAS,11,22,7600,19.88
12,Mitch Trubisky,CHI,QB,10,DET,21,12,7700,19.71
13,Jared Goff,LAR,QB,10,SEA,6,1,8100,19.68
14,Carson Wentz,PHI,QB,10,DAL,3,14,7400,19.42
15,Tom Brady,NE,QB,10,TEN,3,6,8300,19.4
18,Andy Dalton,CIN,QB,10,NO,28,31,7900,18.82
19,Andrew Luck,IND,QB,10,JAX,5,4,7800,18.71
21,Russell Wilson,SEA,QB,10,LAR,15,14,7700,18.69
22,Baker Mayfield,CLE,QB,10,ATL,29,30,7400,17.8
23,Alex Smith,WAS,QB,10,TB,32,32,7600,17.61
25,Marcus Mariota,TEN,QB,10,NE,22,24,6700,16.95
26,Blake Bortles,JAX,QB,10,IND,17,19,6800,16.91
27,Dak Prescott,DAL,QB,10,PHI,12,22,7000,16.67
29,Eli Manning,NYG,QB,10,SF,23,25,6500,16.36
31,Matthew Stafford,DET,QB,10,CHI,4,8,6800,16.14
37,Derek Carr,OAK,QB,10,LAC,13,20,6600,14.92
40,Nick Mullens,SF,QB,10,NYG,18,15,6000,14.7
42,Josh McCown,NYJ,QB,10,BUF,9,3,6000,14.24
45,Josh Rosen,ARI,QB,10,KC,27,27,6500,13.77
46,Brock Osweiler,MIA,QB,10,GB,20,18,6600,13.68
81,Matt Barkley,BUF,QB,10,NYJ,14,13,6000,10.35
293,Taysom Hill,NO,QB,10,CIN,31,29,6100,2.08
2,Todd Gurley,LAR,RB,10,SEA,6,12,10800,22.34
7,Melvin Gordon,LAC,RB,10,OAK,30,29,8900,20.42
11,Alvin Kamara,NO,RB,10,CIN,31,25,8800,19.79
16,Kareem Hunt,KC,RB,10,ARI,12,31,9000,19.23
17,Saquon Barkley,NYG,RB,10,SF,23,19,8600,19.22
19,James Conner,PIT,RB,10,CAR,16,7,8200,18.71
30,Christian McCaffrey,CAR,RB,10,PIT,21,3,8000,16.17
35,Ezekiel Elliott,DAL,RB,10,PHI,12,1,8400,15.18
38,David Johnson,ARI,RB,10,KC,27,32,6900,14.86
39,Joe Mixon,CIN,RB,10,NO,28,5,8000,14.77
47,James White,NE,RB,10,TEN,3,4,7800,13.56
48,Nick Chubb,CLE,RB,10,ATL,29,24,6700,13.53
50,Tevin Coleman,ATL,RB,10,CLE,26,30,7300,13.13
52,Aaron Jones,GB,RB,10,MIA,23,26,6500,13.04
54,Marlon Mack,IND,RB,10,JAX,5,8,7400,12.62
55,Adrian Peterson,WAS,RB,10,TB,32,27,6800,12.4
55,Leonard Fournette,JAX,RB,10,IND,17,16,7000,12.4
62,Dion Lewis,TEN,RB,10,NE,22,15,5800,11.82
63,Mark Ingram,NO,RB,10,CIN,31,25,6800,11.48
65,Tarik Cohen,CHI,RB,10,DET,21,28,6400,11.39
66,Jordan Howard,CHI,RB,10,DET,21,28,6500,11.35
68,Sony Michel,NE,RB,10,TEN,3,4,7300,11.25
71,Mike Davis,SEA,RB,10,LAR,15,14,5800,10.9
72,Kerryon Johnson,DET,RB,10,CHI,4,1,5900,10.88
74,Matt Breida,SF,RB,10,NYG,18,21,5900,10.79
85,Isaiah Crowell,NYJ,RB,10,BUF,9,23,5400,10.11
86,LeSean McCoy,BUF,RB,10,NYJ,14,18,5600,10.04
92,Kenyan Drake,MIA,RB,10,GB,20,19,6400,9.71
99,Duke Johnson,CLE,RB,10,ATL,29,24,5600,9.37
111,Doug Martin,OAK,RB,10,LAC,13,17,5800,8.82
111,Ito Smith,ATL,RB,10,CLE,26,30,5900,8.82
117,Austin Ekeler,LAC,RB,10,OAK,30,29,5800,8.55
125,Jalen Richard,OAK,RB,10,LAC,13,17,5400,8.38
138,Elijah McGuire,NYJ,RB,10,BUF,9,23,4900,8.08
140,Peyton Barber,TB,RB,10,WAS,11,11,5400,8.03
145,Frank Gore,MIA,RB,10,GB,20,19,5200,7.96
148,Wendell Smallwood,PHI,RB,10,DAL,3,11,5500,7.82
156,Theo Riddick,DET,RB,10,CHI,4,1,5100,7.63
163,Nyheim Hines,IND,RB,10,JAX,5,8,5300,7.34
180,Derrick Henry,TEN,RB,10,NE,22,15,5500,6.72
187,Jamaal Williams,GB,RB,10,MIA,23,26,5900,6.53
190,TJ Yeldon,JAX,RB,10,IND,17,16,5800,6.47
199,Kapri Bibbs,WAS,RB,10,TB,32,27,4800,6.15
214,Corey Clement,PHI,RB,10,DAL,3,11,5200,5.47
219,Alfred Morris,SF,RB,10,NYG,18,21,5100,5.17
225,Josh Adams,PHI,RB,10,DAL,3,11,5200,4.59
226,Giovani Bernard,CIN,RB,10,NO,28,5,6100,4.47
230,Spencer Ware,KC,RB,10,ARI,12,31,4900,4.07
235,Carlos Hyde,JAX,RB,10,IND,17,16,5800,3.79
238,Rashaad Penny,SEA,RB,10,LAR,15,14,5400,3.67
239,LeGarrette Blount,DET,RB,10,CHI,4,1,4900,3.66
239,Malcolm Brown,LAR,RB,10,SEA,6,12,4800,3.66
265,Jacquizz Rodgers,TB,RB,10,WAS,11,11,4500,2.93
267,Chase Edmonds,ARI,RB,10,KC,27,32,4700,2.87
273,Wayne Gallman,NYG,RB,10,SF,23,19,4600,2.79
291,CJ Anderson,CAR,RB,10,PIT,21,3,4500,2.11
292,Deandre Washington,OAK,RB,10,LAC,13,17,4500,2.09
294,Trenton Cannon,NYJ,RB,10,BUF,9,23,4600,2.03
295,Jordan Wilkins,IND,RB,10,JAX,5,8,4900,2.02
299,Samaje Perine,WAS,RB,10,TB,32,27,4500,1.93
43,Travis Kelce,KC,TE,10,ARI,12,7,8000,13.92
60,Zach Ertz,PHI,TE,10,DAL,3,9,7500,11.87
69,George Kittle,SF,TE,10,NYG,18,9,7400,11.03
91,Greg Olsen,CAR,TE,10,PIT,21,28,6500,9.73
95,OJ Howard,TB,TE,10,WAS,11,10,6500,9.55
105,Jimmy Graham,GB,TE,10,MIA,23,22,6300,9.19
114,Trey Burton,CHI,TE,10,DET,21,18,6100,8.64
119,Jordan Reed,WAS,TE,10,TB,32,31,5200,8.52
123,Jared Cook,OAK,TE,10,LAC,13,16,5500,8.47
