Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
69,Tyler Boyd,CIN,WR,15,OAK,29,19,6700,11.76
72,Josh Gordon,NE,WR,15,PIT,13,12,6800,11.51
75,Corey Davis,TEN,WR,15,NYG,20,9,5800,11.36
76,D.J. Moore,CAR,WR,15,NO,17,32,6300,11.35
77,Jarvis Landry,CLE,WR,15,DEN,20,13,7200,11.18
80,Tyler Lockett,SEA,WR,15,SF,25,28,6700,11.05
81,Kenny Golladay,DET,WR,15,BUF,3,2,6800,10.8
85,Allen Robinson,CHI,WR,15,GB,15,30,6500,10.52
88,Larry Fitzgerald,ARI,WR,15,ATL,28,26,6000,10.31
89,Dante Pettis,SF,WR,15,SEA,11,22,5500,10.23
93,Sterling Shepard,NYG,WR,15,TEN,7,23,5200,10.03
99,Calvin Ridley,ATL,WR,15,ARI,12,8,5700,9.73
102,Courtland Sutton,DEN,WR,15,CLE,26,18,6500,9.57
103,Kenny Stills,MIA,WR,15,MIN,6,4,5700,9.54
104,Alshon Jeffery,PHI,WR,15,LAR,19,21,6300,9.53
105,Curtis Samuel,CAR,WR,15,NO,17,32,5700,9.42
107,Dede Westbrook,JAX,WR,15,WAS,16,25,5400,9.32
120,Mohamed Sanu,ATL,WR,15,ARI,12,8,5400,8.95
126,Chris Godwin,TB,WR,15,BAL,2,5,5400,8.73
128,Randall Cobb,GB,WR,15,CHI,1,13,5200,8.69
130,Daesean Hamilton,DEN,WR,15,CLE,26,18,5300,8.6
131,Josh Reynolds,LAR,WR,15,PHI,26,31,5300,8.58
132,Robby Anderson,NYJ,WR,15,HOU,9,10,6000,8.56
136,Demaryius Thomas,HOU,WR,15,NYJ,21,25,5400,8.48
140,Zay Jones,BUF,WR,15,DET,17,20,5100,8.4
142,Golden Tate,PHI,WR,15,LAR,19,21,5700,8.33
143,Jordy Nelson,OAK,WR,15,CIN,32,18,5000,8.21
143,Adam Humphries,TB,WR,15,BAL,2,5,6200,8.21
145,Mike Williams,LAC,WR,15,KC,30,11,6000,8.16
151,Taylor Gabriel,CHI,WR,15,GB,15,30,5100,7.98
156,Robert Foster,BUF,WR,15,DET,17,20,5400,7.81
159,Michael Gallup,DAL,WR,15,IND,10,6,5300,7.69
161,David Moore,SEA,WR,15,SF,25,28,6300,7.61
161,Tim Patrick,DEN,WR,15,CLE,26,18,5500,7.61
164,Jamison Crowder,WAS,WR,15,JAX,5,1,5400,7.53
165,Donte Moncrief,JAX,WR,15,WAS,16,25,5000,7.52
167,Chris Conley,KC,WR,15,LAC,8,7,4700,7.5
167,Doug Baldwin,SEA,WR,15,SF,25,28,6200,7.5
170,Michael Crabtree,BAL,WR,15,TB,31,27,5100,7.48
171,Taywan Taylor,TEN,WR,15,NYG,20,9,4900,7.47
172,Devante Parker,MIA,WR,15,MIN,6,4,4900,7.46
174,Isaiah McKenzie,BUF,WR,15,DET,17,20,5100,7.29
175,Anthony Miller,CHI,WR,15,GB,15,30,5200,7.22
179,Antonio Callaway,CLE,WR,15,DEN,20,13,4800,6.97
187,John Ross,CIN,WR,15,OAK,29,19,5600,6.84
190,Marquise Goodwin,SF,WR,15,SEA,11,22,4800,6.78
191,Danny Amendola,MIA,WR,15,MIN,6,4,4700,6.74
192,Tyrell Williams,LAC,WR,15,KC,30,11,5800,6.69
195,John Brown,BAL,WR,15,TB,31,27,4800,6.53
198,Josh Doctson,WAS,WR,15,JAX,5,1,5500,6.51
202,Willie Snead,BAL,WR,15,TB,31,27,5000,6.48
205,Tre'Quan Smith,NO,WR,15,CAR,25,27,5700,6.4
206,Seth Roberts,OAK,WR,15,CIN,32,18,5200,6.39
207,Trent Sherfield,ARI,WR,15,ATL,28,26,4500,6.34
215,Marcell Ateman,OAK,WR,15,CIN,32,18,4600,6.26
219,Jermaine Kearse,NYJ,WR,15,HOU,9,10,4700,6.19
224,Nelson Agholor,PHI,WR,15,LAR,19,21,5300,5.98
230,Demarcus Robinson,KC,WR,15,LAC,8,7,5200,5.49
233,Cody Latimer,NYG,WR,15,TEN,7,23,4500,5.47
236,Russell Shepard,NYG,WR,15,TEN,7,23,4800,5.27
238,TJ Jones,DET,WR,15,BUF,3,2,4600,5.19
