Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
94,Los Angeles Rams,LAR,DST,16,ARI,null,null,4900,9.7
98,Chicago Bears,CHI,DST,16,SF,null,null,5000,9.6
119,Tennessee Titans,TEN,DST,16,WAS,null,null,5500,8.8
123,Dallas Cowboys,DAL,DST,16,TB,null,null,3700,8.6
123,Miami Dolphins,MIA,DST,16,JAX,null,null,4400,8.6
129,New England Patriots,NE,DST,16,BUF,null,null,4300,8.5
135,Minnesota Vikings,MIN,DST,16,DET,null,null,4600,8.2
143,Denver Broncos,DEN,DST,16,OAK,null,null,4800,8.1
146,Indianapolis Colts,IND,DST,16,NYG,null,null,4500,8
151,Cleveland Browns,CLE,DST,16,CIN,null,null,4400,7.8
163,Jacksonville Jaguars,JAX,DST,16,MIA,null,null,4800,7.5
167,Atlanta Falcons,ATL,DST,16,CAR,null,null,3400,7.3
172,Philadelphia Eagles,PHI,DST,16,HOU,null,null,3200,7.1
177,Green Bay Packers,GB,DST,16,NYJ,null,null,4100,6.9
177,New Orleans Saints,NO,DST,16,PIT,null,null,3500,6.9
183,Carolina Panthers,CAR,DST,16,ATL,null,null,3300,6.7
183,Houston Texans,HOU,DST,16,PHI,null,null,4200,6.7
183,Los Angeles Chargers,LAC,DST,16,BAL,null,null,4300,6.7
195,Kansas City Chiefs,KC,DST,16,SEA,null,null,3300,6.5
203,New York Jets,NYJ,DST,16,GB,null,null,3200,6.3
203,San Francisco 49ers,SF,DST,16,CHI,null,null,3300,6.3
209,Baltimore Ravens,BAL,DST,16,LAC,null,null,4500,6.1
213,Detroit Lions,DET,DST,16,MIN,null,null,3800,5.9
213,Washington Redskins,WAS,DST,16,TEN,null,null,4700,5.9
216,Tampa Bay Buccaneers,TB,DST,16,DAL,null,null,3500,5.8
216,Oakland Raiders,OAK,DST,16,DEN,null,null,3500,5.8
230,Seattle Seahawks,SEA,DST,16,KC,null,null,3300,5.4
242,Cincinnati Bengals,CIN,DST,16,CLE,null,null,3500,5.1
249,Arizona Cardinals,ARI,DST,16,LAR,null,null,2500,4.7
257,Buffalo Bills,BUF,DST,16,NE,null,null,3000,4.6
