Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
117,Chicago Bears,CHI,DST,4,TB,null,null,4300,9
124,Jacksonville Jaguars,JAX,DST,4,NYJ,null,null,5200,8.7
132,Los Angeles Chargers,LAC,DST,4,SF,null,null,4400,8.4
140,Green Bay Packers,GB,DST,4,BUF,null,null,4300,8.2
145,Los Angeles Rams,LAR,DST,4,MIN,null,null,4700,8
145,Seattle Seahawks,SEA,DST,4,ARI,null,null,4400,8
151,Arizona Cardinals,ARI,DST,4,SEA,null,null,4000,7.8
153,Dallas Cowboys,DAL,DST,4,DET,null,null,3700,7.7
160,New England Patriots,NE,DST,4,MIA,null,null,4200,7.5
160,Philadelphia Eagles,PHI,DST,4,TEN,null,null,4600,7.5
164,New Orleans Saints,NO,DST,4,NYG,null,null,3700,7.4
169,Cleveland Browns,CLE,DST,4,OAK,null,null,3500,7.3
177,Kansas City Chiefs,KC,DST,4,DEN,null,null,3900,7
183,Indianapolis Colts,IND,DST,4,HOU,null,null,3600,6.8
183,Baltimore Ravens,BAL,DST,4,PIT,null,null,3900,6.8
190,Pittsburgh Steelers,PIT,DST,4,BAL,null,null,3900,6.7
192,Minnesota Vikings,MIN,DST,4,LAR,null,null,4200,6.6
192,Houston Texans,HOU,DST,4,IND,null,null,4200,6.6
192,Tennessee Titans,TEN,DST,4,PHI,null,null,3500,6.6
196,Tampa Bay Buccaneers,TB,DST,4,CHI,null,null,3500,6.4
196,Oakland Raiders,OAK,DST,4,CLE,null,null,4100,6.4
196,Denver Broncos,DEN,DST,4,KC,null,null,3500,6.4
203,Detroit Lions,DET,DST,4,DAL,null,null,3500,6.2
207,Atlanta Falcons,ATL,DST,4,CIN,null,null,3400,6.1
207,Buffalo Bills,BUF,DST,4,GB,null,null,3100,6.1
211,New York Jets,NYJ,DST,4,JAX,null,null,4000,6
219,San Francisco 49ers,SF,DST,4,LAC,null,null,3300,5.7
222,Cincinnati Bengals,CIN,DST,4,ATL,null,null,3800,5.6
227,Miami Dolphins,MIA,DST,4,NE,null,null,3100,5.4
232,New York Giants,NYG,DST,4,NO,null,null,3500,5.2
276,Kyle Juszczyk,SF,RB,4,LAC,26,24,4500,3.36
90,Stephen Gostkowski,NE,K,4,MIA,10,26,5000,10.16
98,Harrison Butker,KC,K,4,DEN,19,25,4950,9.71
103,Matt Bryant,ATL,K,4,CIN,23,24,4900,9.61
103,Caleb Sturgis,LAC,K,4,SF,28,19,4850,9.61
105,Chris Boswell,PIT,K,4,BAL,3,4,4800,9.51
106,Wil Lutz,NO,K,4,NYG,12,26,4750,9.36
107,Jake Elliott,PHI,K,4,TEN,6,14,4700,9.31
111,Adam Vinatieri,IND,K,4,HOU,17,21,4650,9.21
114,Justin Tucker,BAL,K,4,PIT,30,9,4600,9.11
116,Ka'imi Fairbairn,HOU,K,4,IND,11,24,4550,9.01
118,Sam Ficken,LAR,K,4,MIN,14,32,4500,8.81
120,Randy Bullock,CIN,K,4,ATL,27,20,4450,8.76
120,Cody Parkey,CHI,K,4,TB,29,4,4400,8.76
126,Brandon McManus,DEN,K,4,KC,31,6,4350,8.66
130,Dan Bailey,MIN,K,4,LAR,1,3,4300,8.46
134,Ryan Succop,TEN,K,4,PHI,13,15,4250,8.36
138,Robbie Gould,SF,K,4,LAC,26,15,4200,8.26
139,Matt Prater,DET,K,4,DAL,4,10,4150,8.24
141,Josh Lambo,JAX,K,4,NYJ,5,3,4100,8.14
144,Mason Crosby,GB,K,4,BUF,20,12,4050,8.05
154,Aldrick Rosas,NYG,K,4,NO,31,15,4000,7.69
159,Sebastian Janikowski,SEA,K,4,ARI,18,8,3950,7.55
162,Brett Maher,DAL,K,4,DET,16,26,3900,7.49
166,Jason Sanders,MIA,K,4,NE,24,30,3850,7.35
170,Chandler Catanzaro,TB,K,4,CHI,9,4,3800,7.29
181,Steven Hauschka,BUF,K,4,GB,22,15,3750,6.85
181,Phil Dawson,ARI,K,4,SEA,15,26,3700,6.85
200,Greg Joseph,CLE,K,4,OAK,21,30,3650,6.33
210,Matthew McCrane,OAK,K,4,CLE,7,4,3600,6.03
225,Jason Myers,NYJ,K,4,JAX,1,21,3550,5.43
2,Patrick Mahomes,KC,QB,4,DEN,19,17,8900,20.72
3,Aaron Rodgers,GB,QB,4,BUF,20,21,8500,20.35
4,Deshaun Watson,HOU,QB,4,IND,11,8,7600,19.96
5,Drew Brees,NO,QB,4,NYG,12,18,8700,19.87
6,Tom Brady,NE,QB,4,MIA,10,2,8600,19.7
7,Philip Rivers,LAC,QB,4,SF,28,27,7800,19.29
9,Matt Ryan,ATL,QB,4,CIN,23,25,8100,18.89
10,Andy Dalton,CIN,QB,4,ATL,27,29,7400,18.66
11,Ben Roethlisberger,PIT,QB,4,BAL,3,3,8000,18.64
13,Russell Wilson,SEA,QB,4,ARI,18,11,7500,18.3
14,Andrew Luck,IND,QB,4,HOU,17,15,7300,18.11
15,Carson Wentz,PHI,QB,4,TEN,6,12,7300,17.66
16,Ryan Fitzpatrick,TB,QB,4,CHI,9,13,7400,17.59
17,Ryan Tannehill,MIA,QB,4,NE,24,22,6800,17.47
18,Kirk Cousins,MIN,QB,4,LAR,1,1,7500,17.46
21,Case Keenum,DEN,QB,4,KC,31,32,6500,17.22
23,Jared Goff,LAR,QB,4,MIN,14,18,7600,17.15
24,Matthew Stafford,DET,QB,4,DAL,4,14,7300,17.07
25,Baker Mayfield,CLE,QB,4,OAK,21,20,6900,16.87
26,Mitch Trubisky,CHI,QB,4,TB,29,28,6800,16.7
27,Eli Manning,NYG,QB,4,NO,31,32,7100,16.67
30,Joe Flacco,BAL,QB,4,PIT,30,31,6900,16.36
