Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
76,Chicago Bears,CHI,DST,9,BUF,null,null,5400,10.3
119,Kansas City Chiefs,KC,DST,9,CLE,null,null,3900,8.5
122,Dallas Cowboys,DAL,DST,9,TEN,null,null,4200,8.4
125,Carolina Panthers,CAR,DST,9,TB,null,null,4300,8.3
145,Denver Broncos,DEN,DST,9,HOU,null,null,3400,7.5
148,New York Jets,NYJ,DST,9,MIA,null,null,3700,7.3
152,Miami Dolphins,MIA,DST,9,NYJ,null,null,4200,7.1
154,Oakland Raiders,OAK,DST,9,SF,null,null,3300,7
154,Houston Texans,HOU,DST,9,DEN,null,null,4700,7
158,Minnesota Vikings,MIN,DST,9,DET,null,null,4100,6.9
160,Detroit Lions,DET,DST,9,MIN,null,null,3300,6.8
160,Washington Redskins,WAS,DST,9,ATL,null,null,3400,6.8
168,Baltimore Ravens,BAL,DST,9,PIT,null,null,3500,6.6
168,Seattle Seahawks,SEA,DST,9,LAC,null,null,4000,6.6
168,New England Patriots,NE,DST,9,GB,null,null,3500,6.6
172,Buffalo Bills,BUF,DST,9,CHI,null,null,3000,6.4
172,Tennessee Titans,TEN,DST,9,DAL,null,null,3400,6.4
174,Pittsburgh Steelers,PIT,DST,9,BAL,null,null,3800,6.3
177,San Francisco 49ers,SF,DST,9,OAK,null,null,4500,6.2
183,Los Angeles Chargers,LAC,DST,9,SEA,null,null,3600,6
197,New Orleans Saints,NO,DST,9,LAR,null,null,3200,5.5
198,Los Angeles Rams,LAR,DST,9,NO,null,null,3400,5.2
200,Green Bay Packers,GB,DST,9,NE,null,null,3300,5.1
203,Atlanta Falcons,ATL,DST,9,WAS,null,null,3600,5
207,Tampa Bay Buccaneers,TB,DST,9,CAR,null,null,3000,4.8
209,Cleveland Browns,CLE,DST,9,KC,null,null,3000,4.5
227,Kyle Juszczyk,SF,RB,9,OAK,29,30,5000,3.9
68,Stephen Gostkowski,NE,K,9,GB,16,9,5000,10.56
71,Greg Zuerlein,LAR,K,9,NO,27,2,4950,10.51
73,Graham Gano,CAR,K,9,TB,32,15,4900,10.36
77,Harrison Butker,KC,K,9,CLE,23,19,4850,10.11
80,Wil Lutz,NO,K,9,LAR,7,14,4800,9.91
