Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
93,Chicago Bears,CHI,DST,6,MIA,null,null,4500,9.6
113,Houston Texans,HOU,DST,6,BUF,null,null,4700,9.1
145,Minnesota Vikings,MIN,DST,6,ARI,null,null,4600,8.1
149,Los Angeles Chargers,LAC,DST,6,CLE,null,null,4300,8
152,Jacksonville Jaguars,JAX,DST,6,DAL,null,null,4700,7.9
155,Philadelphia Eagles,PHI,DST,6,NYG,null,null,4300,7.8
155,New York Jets,NYJ,DST,6,IND,null,null,4200,7.8
155,Green Bay Packers,GB,DST,6,SF,null,null,4300,7.8
160,Baltimore Ravens,BAL,DST,6,TEN,null,null,4000,7.6
165,Seattle Seahawks,SEA,DST,6,OAK,null,null,3500,7.5
174,Dallas Cowboys,DAL,DST,6,JAX,null,null,4100,7.2
177,Atlanta Falcons,ATL,DST,6,TB,null,null,3100,7.1
177,Buffalo Bills,BUF,DST,6,HOU,null,null,3400,7.1
177,Miami Dolphins,MIA,DST,6,CHI,null,null,3500,7.1
177,Los Angeles Rams,LAR,DST,6,DEN,null,null,4800,7.1
187,Pittsburgh Steelers,PIT,DST,6,CIN,null,null,3300,6.9
187,Indianapolis Colts,IND,DST,6,NYJ,null,null,3500,6.9
187,Carolina Panthers,CAR,DST,6,WAS,null,null,3900,6.9
193,Cleveland Browns,CLE,DST,6,LAC,null,null,3200,6.6
195,Cincinnati Bengals,CIN,DST,6,PIT,null,null,3400,6.5
195,Tennessee Titans,TEN,DST,6,BAL,null,null,3800,6.5
201,Washington Redskins,WAS,DST,6,CAR,null,null,3300,6.4
204,Oakland Raiders,OAK,DST,6,SEA,null,null,3500,6.3
205,Arizona Cardinals,ARI,DST,6,MIN,null,null,3500,6.2
208,New England Patriots,NE,DST,6,KC,null,null,3200,6.1
217,New York Giants,NYG,DST,6,PHI,null,null,3400,5.6
235,Kansas City Chiefs,KC,DST,6,NE,null,null,3300,5
238,San Francisco 49ers,SF,DST,6,GB,null,null,3000,4.9
251,Tampa Bay Buccaneers,TB,DST,6,ATL,null,null,3400,4.5
261,Denver Broncos,DEN,DST,6,LAR,null,null,3200,4.2
227,Kyle Juszczyk,SF,RB,6,GB,8,13,5300,5.21
78,Stephen Gostkowski,NE,K,6,KC,31,7,5000,10.56
84,Matt Bryant,ATL,K,6,TB,32,14,4950,10.11
91,Justin Tucker,BAL,K,6,TEN,4,18,4900,9.61
97,Cairo Santos,LAR,K,6,DEN,26,24,4850,9.51
110,Dan Bailey,MIN,K,6,ARI,15,3,4800,9.16
117,Jake Elliott,PHI,K,6,NYG,11,32,4750,8.96
121,Chandler Catanzaro,TB,K,6,ATL,30,15,4700,8.81
121,Randy Bullock,CIN,K,6,PIT,29,15,4650,8.81
124,Harrison Butker,KC,K,6,NE,16,18,4600,8.74
125,Sebastian Janikowski,SEA,K,6,OAK,28,24,4550,8.61
127,Cody Parkey,CHI,K,6,MIA,12,28,4500,8.56
127,Adam Vinatieri,IND,K,6,NYJ,13,8,4450,8.56
132,Ka'imi Fairbairn,HOU,K,6,BUF,11,29,4400,8.44
135,Graham Gano,CAR,K,6,WAS,6,1,4350,8.34
137,Dustin Hopkins,WAS,K,6,CAR,18,6,4300,8.31
137,Josh Lambo,JAX,K,6,DAL,5,12,4250,8.31
141,Mason Crosby,GB,K,6,SF,23,14,4200,8.19
143,Jason Myers,NYJ,K,6,IND,22,29,4150,8.11
146,Chris Boswell,PIT,K,6,CIN,24,27,4100,8.09
147,Aldrick Rosas,NYG,K,6,PHI,12,20,4050,8.01
170,Greg Joseph,CLE,K,6,LAC,19,10,4000,7.39
172,Matthew McCrane,OAK,K,6,SEA,10,21,3950,7.35
175,Ryan Succop,TEN,K,6,BAL,2,4,3900,7.19
175,Robbie Gould,SF,K,6,GB,8,3,3850,7.19
181,Steven Hauschka,BUF,K,6,HOU,20,22,3800,7.09
183,Brett Maher,DAL,K,6,JAX,1,22,3750,6.99
185,Brandon McManus,DEN,K,6,LAR,8,9,3700,6.95
195,Jason Sanders,MIA,K,6,CHI,3,2,3650,6.5
202,Michael Badgley,LAC,K,6,CLE,14,15,3600,6.38
209,Phil Dawson,ARI,K,6,MIN,25,31,3550,5.93
1,Tom Brady,NE,QB,6,KC,31,28,8800,22.23
2,Patrick Mahomes,KC,QB,6,NE,16,18,9000,21.93
3,Matt Ryan,ATL,QB,6,TB,32,32,8300,21.88
4,Aaron Rodgers,GB,QB,6,SF,23,26,8700,21.25
5,Jameis Winston,TB,QB,6,ATL,30,29,7400,20.84
7,Deshaun Watson,HOU,QB,6,BUF,11,10,8100,20.4
8,Cam Newton,CAR,QB,6,WAS,6,14,8400,19.8
9,Ben Roethlisberger,PIT,QB,6,CIN,24,26,8500,19.65
10,Kirk Cousins,MIN,QB,6,ARI,15,7,7900,19.53
11,Jared Goff,LAR,QB,6,DEN,26,21,8200,19.41
12,Russell Wilson,SEA,QB,6,OAK,28,20,7600,19.37
12,Andy Dalton,CIN,QB,6,PIT,29,31,7500,19.37
14,Carson Wentz,PHI,QB,6,NYG,11,11,7500,18.78
15,Andrew Luck,IND,QB,6,NYJ,13,12,7800,18.42
16,Philip Rivers,LAC,QB,6,CLE,14,6,8300,18.06
17,Blake Bortles,JAX,QB,6,DAL,5,17,6900,17.89
19,Alex Smith,WAS,QB,6,CAR,18,19,7400,17.55
20,Baker Mayfield,CLE,QB,6,LAC,19,23,7100,17.46
22,CJ Beathard,SF,QB,6,GB,8,10,6300,17.04
25,Mitch Trubisky,CHI,QB,6,MIA,12,2,7400,16.48
27,Joe Flacco,BAL,QB,6,TEN,4,8,7000,16.41
30,Derek Carr,OAK,QB,6,SEA,10,4,6900,16.1
31,Case Keenum,DEN,QB,6,LAR,8,9,6700,15.61
34,Eli Manning,NYG,QB,6,PHI,12,21,6800,15.51
41,Marcus Mariota,TEN,QB,6,BAL,2,3,6800,14.79
47,Sam Darnold,NYJ,QB,6,IND,22,24,6800,13.75
48,Dak Prescott,DAL,QB,6,JAX,1,1,6800,13.72
49,Josh Allen,BUF,QB,6,HOU,20,22,6400,13.45
63,Josh Rosen,ARI,QB,6,MIN,25,27,6400,12.04
159,Brock Osweiler,MIA,QB,6,CHI,3,5,6000,7.69
6,Todd Gurley,LAR,RB,6,DEN,26,25,9500,20.43
18,Melvin Gordon,LAC,RB,6,CLE,14,21,8800,17.67
21,Saquon Barkley,NYG,RB,6,PHI,12,2,8200,17.05
23,James Conner,PIT,RB,6,CIN,24,23,8200,16.8
24,Christian McCaffrey,CAR,RB,6,WAS,6,17,8400,16.76
28,Ezekiel Elliott,DAL,RB,6,JAX,1,6,8100,16.38
37,Joe Mixon,CIN,RB,6,PIT,29,4,7500,15.07
40,Kareem Hunt,KC,RB,6,NE,16,11,7800,14.82
42,TJ Yeldon,JAX,RB,6,DAL,5,8,7100,14.59
44,Sony Michel,NE,RB,6,KC,31,31,7100,14.2
45,Tevin Coleman,ATL,RB,6,TB,32,26,6300,13.95
46,David Johnson,ARI,RB,6,MIN,25,9,7500,13.82
54,James White,NE,RB,6,KC,31,31,7100,13.02
57,Carlos Hyde,CLE,RB,6,LAC,19,12,6600,12.53
59,Chris Carson,SEA,RB,6,OAK,28,28,6400,12.31
65,Marshawn Lynch,OAK,RB,6,SEA,10,16,6500,11.93
67,Jordan Howard,CHI,RB,6,MIA,12,27,6200,11.79
71,LeSean McCoy,BUF,RB,6,HOU,20,14,6200,11.49
79,Phillip Lindsay,DEN,RB,6,LAR,8,10,6100,10.54
81,Bilal Powell,NYJ,RB,6,IND,22,20,5800,10.45
84,Adrian Peterson,WAS,RB,6,CAR,18,15,6900,10.11
87,Lamar Miller,HOU,RB,6,BUF,11,22,6100,10
95,Dion Lewis,TEN,RB,6,BAL,2,2,5500,9.54
97,Corey Clement,PHI,RB,6,NYG,11,19,5000,9.51
102,Wendell Smallwood,PHI,RB,6,NYG,11,19,5500,9.34
103,Tarik Cohen,CHI,RB,6,MIA,12,27,5900,9.3
105,Alex Collins,BAL,RB,6,TEN,4,3,6200,9.26
106,Aaron Jones,GB,RB,6,SF,23,22,6000,9.21
108,Nyheim Hines,IND,RB,6,NYJ,13,18,6300,9.18
115,Isaiah Crowell,NYJ,RB,6,IND,22,20,6700,9.05
118,Javorius Allen,BAL,RB,6,TEN,4,3,5500,8.94
120,Alfred Morris,SF,RB,6,GB,8,13,5900,8.85
131,Kenyan Drake,MIA,RB,6,CHI,3,1,6300,8.46
142,Mike Davis,SEA,RB,6,OAK,28,28,5700,8.17
150,Austin Ekeler,LAC,RB,6,CLE,14,21,6200,7.94
161,Royce Freeman,DEN,RB,6,LAR,8,10,6000,7.59
163,Derrick Henry,TEN,RB,6,BAL,2,2,5500,7.56
167,Ito Smith,ATL,RB,6,TB,32,26,5000,7.46
168,Peyton Barber,TB,RB,6,ATL,30,29,5600,7.44
168,Marlon Mack,IND,RB,6,NYJ,13,18,5500,7.44
173,Latavius Murray,MIN,RB,6,ARI,15,32,5600,7.21
