Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
170,Evan Engram,NYG,TE,14,WAS,12,8,5000,7.58
172,Jimmy Graham,GB,TE,14,ATL,28,11,5600,7.51
186,Cameron Brate,TB,TE,14,NO,17,2,5100,7.14
187,Kyle Rudolph,MIN,TE,14,SEA,12,3,5600,7.13
194,David Njoku,CLE,TE,14,CAR,24,30,5300,6.96
207,Trey Burton,CHI,TE,14,LAR,23,25,5500,6.58
217,CJ Uzomah,CIN,TE,14,LAC,7,10,5200,6.15
222,Chris Herndon IV,NYJ,TE,14,BUF,3,6,5500,6
231,Ian Thomas,CAR,TE,14,CLE,27,23,4900,5.62
238,Jonnu Smith,TEN,TE,14,JAX,3,22,5300,5.23
241,Matt LaCosse,DEN,TE,14,SF,26,12,4500,5.07
251,Mark Andrews,BAL,TE,14,KC,30,31,4800,4.71
252,Gerald Everett,LAR,TE,14,CHI,4,9,4800,4.69
256,Jesse James,PIT,TE,14,OAK,29,32,4700,4.53
263,Charles Clay,BUF,TE,14,NYJ,21,14,4200,4.19
265,Michael Roberts,DET,TE,14,ARI,16,7,4200,4.14
266,Nick Vannett,SEA,TE,14,MIN,8,15,4800,4.12
268,Anthony Firkser,TEN,TE,14,JAX,3,22,5100,4.07
268,Antonio Gates,LAC,TE,14,CIN,32,27,4900,4.07
272,Benjamin Watson,NO,TE,14,TB,31,29,5000,3.92
274,Tyler Higbee,LAR,TE,14,CHI,4,9,4200,3.88
275,Ricky Seals-Jones,ARI,TE,14,DET,22,15,4900,3.87
279,Vernon Davis,WAS,TE,14,NYG,20,17,4900,3.77
281,Erik Swoope,IND,TE,14,HOU,9,26,4000,3.64
282,Jordan Thomas,HOU,TE,14,IND,10,16,5300,3.58
283,James O'Shaughnessy,JAX,TE,14,TEN,8,1,4000,3.55
291,Demetrius Harris,KC,TE,14,BAL,1,18,4000,3.32
297,Rhett Ellison,NYG,TE,14,WAS,12,8,4800,3.2
298,Ryan Griffin,HOU,TE,14,IND,10,16,4100,3.15
26,Antonio Brown,PIT,WR,14,OAK,29,15,8800,16.93
27,Davante Adams,GB,WR,14,ATL,28,26,8700,16.87
33,Julio Jones,ATL,WR,14,GB,14,29,8400,15.79
35,DeAndre Hopkins,HOU,WR,14,IND,10,5,8600,15.6
38,Tyreek Hill,KC,WR,14,BAL,1,4,8200,15.19
39,Michael Thomas,NO,WR,14,TB,31,31,8300,15.08
41,Keenan Allen,LAC,WR,14,CIN,32,18,7900,14.87
44,JuJu Smith-Schuster,PIT,WR,14,OAK,29,15,7500,14.66
47,Adam Thielen,MIN,WR,14,SEA,12,23,8100,13.92
48,Mike Evans,TB,WR,14,NO,17,32,7700,13.84
49,T.Y. Hilton,IND,WR,14,HOU,9,7,7600,13.72
50,Stefon Diggs,MIN,WR,14,SEA,12,23,7700,13.53
55,Amari Cooper,DAL,WR,14,PHI,18,28,6900,13.07
57,Robert Woods,LAR,WR,14,CHI,4,17,7500,12.91
62,Kenny Golladay,DET,WR,14,ARI,16,11,7200,12.36
65,Brandin Cooks,LAR,WR,14,CHI,4,17,7600,12.27
71,Julian Edelman,NE,WR,14,MIA,25,13,6900,11.54
75,Josh Gordon,NE,WR,14,MIA,25,13,6700,11.31
76,Adam Humphries,TB,WR,14,NO,17,32,6500,11.18
79,Chris Godwin,TB,WR,14,NO,17,32,5600,11.03
85,Tyler Boyd,CIN,WR,14,LAC,7,9,7000,10.64
87,Sterling Shepard,NYG,WR,14,WAS,12,27,5200,10.6
88,Allen Robinson,CHI,WR,14,LAR,23,24,6500,10.58
89,Corey Davis,TEN,WR,14,JAX,3,4,5900,10.41
91,Larry Fitzgerald,ARI,WR,14,DET,22,20,6200,10.4
92,Jarvis Landry,CLE,WR,14,CAR,24,22,5800,10.33
93,Courtland Sutton,DEN,WR,14,SF,26,30,5600,10.32
96,Golden Tate,PHI,WR,14,DAL,2,3,5700,10.2
97,Tyler Lockett,SEA,WR,14,MIN,8,6,6700,10.1
99,D.J. Moore,CAR,WR,14,CLE,27,19,6300,10.04
104,Calvin Ridley,ATL,WR,14,GB,14,29,6100,9.73
111,Dante Pettis,SF,WR,14,DEN,19,16,5500,9.25
123,Demaryius Thomas,HOU,WR,14,IND,10,5,5400,8.74
127,Alshon Jeffery,PHI,WR,14,DAL,2,3,6300,8.58
128,Curtis Samuel,CAR,WR,14,CLE,27,19,5700,8.55
129,Zay Jones,BUF,WR,14,NYJ,21,25,5100,8.52
133,Anthony Miller,CHI,WR,14,LAR,23,24,5200,8.37
134,Mohamed Sanu,ATL,WR,14,GB,14,29,5200,8.36
138,Josh Reynolds,LAR,WR,14,CHI,4,17,5300,8.22
139,Bruce Ellington,DET,WR,14,ARI,16,11,4900,8.21
142,Marquise Goodwin,SF,WR,14,DEN,19,16,5000,8.14
143,Tre'Quan Smith,NO,WR,14,TB,31,31,5700,8.11
143,Antonio Callaway,CLE,WR,14,CAR,24,22,5400,8.11
149,Mike Williams,LAC,WR,14,CIN,32,18,6000,8.03
151,Kenny Stills,MIA,WR,14,NE,15,10,5200,7.96
156,Devante Parker,MIA,WR,14,NE,15,10,5500,7.87
161,Michael Gallup,DAL,WR,14,PHI,18,28,5100,7.79
162,Jordy Nelson,OAK,WR,14,PIT,13,14,5000,7.76
164,Dede Westbrook,JAX,WR,14,TEN,8,21,5000,7.75
171,Randall Cobb,GB,WR,14,ATL,28,26,5000,7.53
174,Taylor Gabriel,CHI,WR,14,LAR,23,24,5100,7.44
176,Donte Moncrief,JAX,WR,14,TEN,8,21,4800,7.43
177,Marquez Valdes-Scantling,GB,WR,14,ATL,28,26,4900,7.42
181,Chris Conley,KC,WR,14,BAL,1,4,4700,7.36
182,Devin Funchess,CAR,WR,14,CLE,27,19,5400,7.35
184,Quincy Enunwa,NYJ,WR,14,BUF,3,2,5200,7.2
187,Rashard Higgins,CLE,WR,14,CAR,24,22,5000,7.13
189,David Moore,SEA,WR,14,MIN,8,6,6300,7.11
190,Michael Crabtree,BAL,WR,14,KC,30,12,5200,7.09
192,Tyrell Williams,LAC,WR,14,CIN,32,18,5800,6.98
192,John Ross,CIN,WR,14,LAC,7,9,5300,6.98
195,Josh Doctson,WAS,WR,14,NYG,20,8,5400,6.95
201,Danny Amendola,MIA,WR,14,NE,15,10,4900,6.74
202,Robby Anderson,NYJ,WR,14,BUF,3,2,5200,6.7
204,Daesean Hamilton,DEN,WR,14,SF,26,30,4500,6.68
209,Marcell Ateman,OAK,WR,14,PIT,13,14,4600,6.52
210,Isaiah McKenzie,BUF,WR,14,NYJ,21,25,4500,6.49
212,Jamison Crowder,WAS,WR,14,NYG,20,8,5300,6.35
218,Nelson Agholor,PHI,WR,14,DAL,2,3,5300,6.11
220,Ryan Grant,IND,WR,14,HOU,9,7,4500,6.03
221,Taywan Taylor,TEN,WR,14,JAX,3,4,4600,6.01
224,Robert Foster,BUF,WR,14,NYJ,21,25,5100,5.96
228,Jermaine Kearse,NYJ,WR,14,BUF,3,2,5000,5.74
232,Tajae Sharpe,TEN,WR,14,JAX,3,4,5200,5.56
234,Seth Roberts,OAK,WR,14,PIT,13,14,5200,5.54
237,Aldrick Robinson,MIN,WR,14,SEA,12,23,4600,5.26
239,Kendrick Bourne,SF,WR,14,DEN,19,16,4700,5.19
240,Willie Snead,BAL,WR,14,KC,30,12,4700,5.14
242,Travis Benjamin,LAC,WR,14,CIN,32,18,4600,4.99
243,John Brown,BAL,WR,14,KC,30,12,4600,4.87
244,Chris Hogan,NE,WR,14,MIA,25,13,4900,4.82
247,Bennie Fowler,NYG,WR,14,WAS,12,27,4600,4.77
247,Ryan Switzer,PIT,WR,14,OAK,29,15,4800,4.77
249,Tim Patrick,DEN,WR,14,SF,26,30,4500,4.75
254,Keith Kirkwood,NO,WR,14,TB,31,31,5200,4.62
258,Cordarrelle Patterson,NE,WR,14,MIA,25,13,4800,4.51
261,Keelan Cole,JAX,WR,14,TEN,8,21,4600,4.3
264,Cole Beasley,DAL,WR,14,PHI,18,28,4800,4.18
271,Chester Rogers,IND,WR,14,HOU,9,7,4600,3.93
276,Deandre Carter,HOU,WR,14,IND,10,5,4500,3.84
277,Jarius Wright,CAR,WR,14,CLE,27,19,4700,3.82
280,TJ Jones,DET,WR,14,ARI,16,11,4600,3.73
284,Russell Shepard,NYG,WR,14,WAS,12,27,4800,3.54
285,Equanimeous St. Brown,GB,WR,14,ATL,28,26,4500,3.51
286,James Washington,PIT,WR,14,OAK,29,15,4600,3.47
288,Jaron Brown,SEA,WR,14,MIN,8,6,4800,3.39
288,Cody Core,CIN,WR,14,LAC,7,9,4700,3.39
290,Demarcus Robinson,KC,WR,14,BAL,1,4,5200,3.36
292,Maurice Harris,WAS,WR,14,NYG,20,8,4700,3.28
293,Trent Taylor,SF,WR,14,DEN,19,16,4500,3.26
294,Trent Sherfield,ARI,WR,14,DET,22,20,4500,3.23
295,Breshad Perriman,CLE,WR,14,CAR,24,22,4500,3.21
295,Allen Hurns,DAL,WR,14,PHI,18,28,4500,3.21
