Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
84,Seattle Seahawks,SEA,DST,17,ARI,null,null,4700,9.8
103,Los Angeles Rams,LAR,DST,17,SF,null,null,4800,9
109,Houston Texans,HOU,DST,17,JAX,null,null,5000,8.8
111,New Orleans Saints,NO,DST,17,CAR,null,null,4500,8.7
115,Kansas City Chiefs,KC,DST,17,OAK,null,null,4400,8.6
116,Philadelphia Eagles,PHI,DST,17,WAS,null,null,4000,8.5
119,Baltimore Ravens,BAL,DST,17,CLE,null,null,4700,8.4
123,Buffalo Bills,BUF,DST,17,MIA,null,null,3700,8.3
123,Chicago Bears,CHI,DST,17,MIN,null,null,4500,8.3
123,Minnesota Vikings,MIN,DST,17,CHI,null,null,4100,8.3
129,Pittsburgh Steelers,PIT,DST,17,CIN,null,null,4600,8.2
139,New England Patriots,NE,DST,17,NYJ,null,null,4100,8
145,Los Angeles Chargers,LAC,DST,17,DEN,null,null,4400,7.8
150,New York Giants,NYG,DST,17,DAL,null,null,3300,7.6
174,Atlanta Falcons,ATL,DST,17,TB,null,null,3300,7
184,Miami Dolphins,MIA,DST,17,BUF,null,null,4400,6.7
184,Indianapolis Colts,IND,DST,17,TEN,null,null,4300,6.7
190,Green Bay Packers,GB,DST,17,DET,null,null,4300,6.6
192,Jacksonville Jaguars,JAX,DST,17,HOU,null,null,3800,6.4
196,Washington Redskins,WAS,DST,17,PHI,null,null,3400,6.3
198,Denver Broncos,DEN,DST,17,LAC,null,null,4100,6.2
208,Tampa Bay Buccaneers,TB,DST,17,ATL,null,null,3300,6
214,Dallas Cowboys,DAL,DST,17,NYG,null,null,4100,5.9
214,Tennessee Titans,TEN,DST,17,IND,null,null,4300,5.9
224,Cleveland Browns,CLE,DST,17,BAL,null,null,3600,5.5
236,Arizona Cardinals,ARI,DST,17,SEA,null,null,3100,4.9
243,Carolina Panthers,CAR,DST,17,NO,null,null,3000,4.7
249,Detroit Lions,DET,DST,17,GB,null,null,3300,4.5
254,San Francisco 49ers,SF,DST,17,LAR,null,null,3000,4.3
267,Cincinnati Bengals,CIN,DST,17,PIT,null,null,3000,3.9
279,New York Jets,NYJ,DST,17,NE,null,null,3000,3.6
292,Oakland Raiders,OAK,DST,17,KC,null,null,3000,3.3
122,Jaylen Samuels,PIT,RB,17,CIN,32,31,6700,8.31
297,Kyle Juszczyk,SF,RB,17,LAR,17,15,4600,3.15
65,Harrison Butker,KC,K,17,OAK,29,27,5000,10.66
70,Greg Zuerlein,LAR,K,17,SF,24,14,4950,10.26
72,Stephen Gostkowski,NE,K,17,NYJ,27,30,4900,10.21
77,Justin Tucker,BAL,K,17,CLE,21,23,4850,10.11
89,Mason Crosby,GB,K,17,DET,18,3,4800,9.61
92,Ka'imi Fairbairn,HOU,K,17,JAX,3,10,4750,9.56
96,Wil Lutz,NO,K,17,CAR,23,18,4700,9.26
105,Aldrick Rosas,NYG,K,17,DAL,7,14,4650,8.91
108,Matt Bryant,ATL,K,17,TB,30,19,4600,8.81
110,Michael Badgley,LAC,K,17,DEN,16,25,4550,8.71
112,Adam Vinatieri,IND,K,17,TEN,6,10,4500,8.66
113,Sebastian Janikowski,SEA,K,17,ARI,19,10,4450,8.64
114,Jake Elliott,PHI,K,17,WAS,11,4,4400,8.61
120,Robbie Gould,SF,K,17,LAR,17,23,4350,8.36
127,Matt Prater,DET,K,17,GB,21,9,4300,8.26
128,Steven Hauschka,BUF,K,17,MIA,26,27,4250,8.21
132,Cairo Santos,TB,K,17,ATL,28,14,4200,8.14
134,Dustin Hopkins,WAS,K,17,PHI,25,30,4150,8.11
134,Dan Bailey,MIN,K,17,CHI,2,8,4100,8.11
141,Daniel Carlson,OAK,K,17,KC,31,10,4050,7.94
143,Ryan Succop,TEN,K,17,IND,9,22,4000,7.91
151,Brett Maher,DAL,K,17,NYG,20,31,3950,7.54
151,Brandon McManus,DEN,K,17,LAC,8,7,3900,7.54
151,Jason Myers,NYJ,K,17,NE,17,19,3850,7.54
162,Cody Parkey,CHI,K,17,MIN,5,28,3800,7.19
169,Jason Sanders,MIA,K,17,BUF,6,21,3750,7.09
173,Matthew McCrane,PIT,K,17,CIN,32,32,3700,7.03
190,Chandler Catanzaro,CAR,K,17,NO,13,1,3650,6.6
200,Randy Bullock,CIN,K,17,PIT,15,6,3600,6.13
200,Greg Joseph,CLE,K,17,BAL,1,1,3550,6.13
222,Kai Forbath,JAX,K,17,HOU,12,7,3500,5.58
242,Zane Gonzalez,ARI,K,17,SEA,14,14,3450,4.73
1,Patrick Mahomes,KC,QB,17,OAK,29,24,9500,23.7
2,Ben Roethlisberger,PIT,QB,17,CIN,32,32,8700,20.73
3,Aaron Rodgers,GB,QB,17,DET,18,21,8400,20.53
4,Matt Ryan,ATL,QB,17,TB,30,28,8500,20.35
